date,total
2021-09-07,428.8
2021-09-08,427.2
2021-09-09,427.6
2021-09-10,406.6
2021-09-11,237.0
2021-09-12,204.0
2021-09-13,408.6
2021-09-14,425.2
2021-09-15,430.0
2021-09-16,446.0
2021-09-17,398.4
2021-09-18,236.6
2021-09-19,211.0
2021-09-20,397.4
2021-09-21,411.0
2021-09-22,415.6
2021-09-23,422.0
2021-09-24,387.0
2021-09-25,246.8
2021-09-26,205.2
2021-09-27,405.6
2021-09-28,407.0
2021-09-29,418.2
2021-09-30,405.6
2021-10-01,382.2
2021-10-02,229.0
2021-10-03,223.4
2021-10-04,415.0
2021-10-05,422.0
2021-10-06,419.0
2021-10-07,434.8
2021-10-08,412.2
2021-10-09,259.6
2021-10-10,223.6
2021-10-11,419.8
2021-10-12,431.8
2021-10-13,450.8
2021-10-14,426.6
2021-10-15,386.2
2021-10-16,246.2
2021-10-17,196.0
2021-10-18,380.0
2021-10-19,402.4
2021-10-20,294.8
2021-10-21,409.4
2021-10-22,395.2
2021-10-23,232.2
2021-10-24,202.8
2021-10-25,415.0
2021-10-26,426.6
2021-10-27,415.4
2021-10-28,423.8
2021-10-29,389.4
2021-10-30,232.8
2021-10-31,225.4
2021-11-01,407.8
2021-11-02,438.6
2021-11-03,440.8
2021-11-04,441.8
2021-11-05,417.2
2021-11-06,251.6
2021-11-07,234.4
2021-11-08,416.6
2021-11-09,415.8
2021-11-10,452.2
2021-11-11,441.4
2021-11-12,423.6
2021-11-13,242.4
2021-11-14,216.6
2021-11-15,435.4
2021-11-16,437.8
2021-11-17,456.4
2021-11-18,438.8
2021-11-19,391.0
2021-11-20,238.8
2021-11-21,208.8
2021-11-22,426.6
2021-11-23,438.8
2021-11-24,434.0
2021-11-25,438.0
2021-11-26,396.4
2021-11-27,237.4
2021-11-28,224.8
2021-11-29,416.2
2021-11-30,438.2
2021-12-01,445.2
2021-12-02,427.6
2021-12-03,409.0
2021-12-04,282.2
2021-12-05,251.0
2021-12-06,432.4
2021-12-07,459.4
2021-12-08,460.0
2021-12-09,460.4
2021-12-10,422.2
2021-12-13,432.2
